document_id,state,naics,harmonized_sector,contract_year,C_WAGE_BASE_RATE,C_GRIEVANCE_PROCEDURE,C_ARBITRATION,C_LEAVE_HOLIDAYS,C_PREMIUM_OVERTIME,C_UNION_ACCESS_BUSINESS,C_DISCIPLINE_JUST_CAUSE,C_WAGE_INCREASES_COLA,C_HEALTH_MEDICAL_ACTIVE_CONTRIBUTION,C_LEAVE_VACATION,C_SAFETY_PPE_UNSAFE_WORK,C_PREMIUM_CALL_IN_REPORTING,C_RETIREMENT_PENSION,C_PREMIUM_SHIFT,C_JOB_SECURITY_LAYOFF_ORDER,C_TIME_REGULAR_SCHEDULE,C_UNION_SECURITY_DUES_CHECKOFF,C_WAGE_PROGRESSION,C_LEAVE_SICK,C_LEAVE_PERSONAL_MISC,C_JOB_SECURITY_RECALL,C_TIME_REST_MEAL_PERIODS,C_PREMIUM_RESPONSIBILITY_SPECIALTY,C_RETIREMENT_SAVINGS_ANNUITY,C_RECOGNITION_COVERAGE_SCOPE,C_HEALTH_DENTAL,C_LEAVE_PARENTAL_FAMILY,C_TRAINING_TUITION_CERTIFICATION,C_JOB_SECURITY_SEVERANCE,C_HEALTH_MEDICAL_ACTIVE,C_HEALTH_LIFE_AD_D,C_DISCIPLINE_PROGRESSIVE,C_HEALTH_MEDICAL_ACTIVE_PLAN_DESIGN,C_PREMIUM_STANDBY_ON_CALL,C_UNIFORM_CLOTHING_ALLOWANCE,C_LABOR_MANAGEMENT_COMMITTEE,C_HIRING_HALL_DISPATCH,C_DISCIPLINE_INVESTIGATION_APPEAL,C_HEALTH_DISABILITY_INCOME,C_JOB_SECURITY_BENEFIT_CONTINUATION,C_HEALTH_RETIREE,C_SUBCONTRACTING_WORK_PRESERVATION,C_WORKLOAD_CLASS_SIZE_STAFFING,C_SENIORITY_SYSTEM,C_TIME_SCHEDULE_NOTICE_CHANGE,C_PREMIUM_ZONE_SUBSISTENCE,C_HEALTH_VISION,C_LEGAL_SERVICES_FUND,C_JOB_POSTING_BIDDING_TRANSFER,C_SAFETY_ASSAULT_VIOLENCE,C_RETIREMENT_INCENTIVE,C_JOB_SECURITY_LAYOFF_RECALL,C_JOB_SECURITY_SUB_INCOME_BRIDGE,C_CHILD_DEPENDENT_CARE,C_HEALTH_EMPLOYER_CONTRIBUTION,C_HEALTH_ACTIVE,C_JOB_SECURITY_LAYOFF,C_WAGE_GENERAL_INCREASE,C_TIME_NO_CANCELLATION_SECURITY,C_JOB_SECURITY_SENIORITY,C_TRANSIT_COMMUTER_BENEFIT,C_WAGE_APPRENTICE,C_WAGE_SCHEDULED_INCREASE,C_PREMIUM_SUNDAY_HOLIDAY,C_LIGHT_DUTY_ACCOMMODATION,C_HEALTH_LIFE_INSURANCE,C_PREMIUM_FOREMAN,C_HEALTH_ACTIVE_CONTRIBUTION,C_LEAVE_BEREAVEMENT,C_JOB_SECURITY_SUBCONTRACTING,C_JOB_SECURITY_RIF_LAYOFF,C_HEALTH_EXTERNAL_FUND,C_PREMIUM_HAZARD,C_HEALTH_ACTIVE_PLAN_DESIGN,C_UNION_SECURITY,C_WAGE_INCREASE,C_WAGE_LONGEVITY,C_UNION_DUES_CHECKOFF,C_HEALTH_PLAN_DESIGN,C_WAGE_MERIT_STEP,C_DISCIPLINE_PROBATION,C_SAFETY_DRUG_TESTING,C_JOB_SECURITY_BUMPING,C_HEALTH_INSURANCE_BUYOUT,C_JOB_SECURITY_NO_CONTRACTING_OUT,C_WAGE_SAVINGS,C_WAGE_VACATION_SUPP,C_WAGE_ACCRUAL_VACATION,C_PREMIUM_LEADMAN,C_LEAVE_PERSONAL,C_HEALTH_WELFARE_FUND,C_LEAVE_SUBSISTENCE,C_HEALTH_DISABILITY,C_PREMIUM_GROUP_LEADER,C_LEAVE_JURY_DUTY,C_WAGE_INCENTIVE,C_PREMIUM_STANDBY,C_HEALTH_PRESCRIPTION_DRUG,C_HEALTH_BENEFITS
5,DE,51711,Information,,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,NJ,92119,Public administration,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,MD,44511,Retail trade,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,MA,44511,Retail trade,2004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,NY,332994,Manufacturing,2002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,IL,3229,Manufacturing,2011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,IL,3229,Manufacturing,,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,TX,336411,Manufacturing,2010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,TX,336411,Manufacturing,2007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,OR,92119,Public administration,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,NE,92119,Public administration,2005,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
