document_id,contract_year,cola_strict,cola_broad
729,2002,0,0
3371,2005,0,0
379,,0,1
2130,2012,0,0
1659,2009,0,0
396,2002,0,0
816,2003,0,0
1823,2006,0,0
1570,2003,0,0
2537,2019,0,0
3326,2001,0,0
3776,2021,0,0
284,2004,0,1
2022,2010,0,0
4375,2020,0,0
142,2001,0,0
841,2008,0,0
1198,2002,0,0
457,2005,0,0
3330,2002,0,0
338,2012,1,1
2034,2010,0,0
787,,0,0
1862,2008,0,0
504,2004,0,0
3019,2002,0,1
1024,2007,0,0
3449,,0,1
2126,,0,0
695,2006,0,0
2825,,0,0
3222,2002,0,0
2063,2015,0,0
553,2007,0,0
1136,2017,0,0
416,2001,0,0
1264,2000,0,0
601,2001,0,0
2018,2009,0,1
4573,2021,0,0
3035,2001,0,0
3520,2015,1,1
528,,0,0
482,,0,0
178,2002,1,1
2761,,0,0
4461,2022,0,0
2736,2004,0,0
986,2002,0,0
3218,,0,0
355,2005,1,1
4532,,0,0
1730,2009,0,0
2665,2006,0,0
1049,2019,0,0
569,2014,0,0
139,,0,0
2720,,0,0
617,2004,0,0
1767,2015,0,0
2848,2004,0,0
4135,2020,0,0
3473,2009,1,1
3920,2021,0,0
36,2007,0,0
4359,,0,0
1086,2005,0,0
1985,2014,0,0
2645,,0,0
1340,2002,0,0
725,2004,0,0
16,2004,0,0
4379,2021,0,0
1481,2000,0,0
3516,2015,0,0
3003,,0,0
1317,2003,0,0
322,2002,1,1
3500,2009,0,0
508,,0,0
158,2006,0,0
2604,2006,0,0
3445,1998,0,0
1301,2005,0,0
1751,2000,0,0
1839,2008,0,0
2346,2015,0,0
2829,,0,0
2080,2012,0,0
1213,2009,0,0
1004,2009,0,0
461,,0,0
1842,2007,0,0
1141,2000,0,0
1287,1998,0,0
3310,,0,0
318,2002,0,1
2151,2011,0,0
1950,2014,0,0
1546,2003,0,0
3828,,0,0
3202,,0,0
2556,,0,0
1946,2009,0,0
836,2005,0,0
135,2010,0,0
3097,2001,1,1
2055,2012,0,0
3644,1995,0,0
709,2003,0,0
2540,2016,0,0
1911,2008,0,0
2147,2005,0,0
2844,2002,0,0
2003,2011,0,1
925,2002,0,0
1910,2008,0,0
3184,2003,0,0
533,2001,0,0
3491,2008,0,0
860,,0,0
2054,2015,0,0
3215,,0,0
708,2008,0,0
3079,2003,0,0
1414,2001,0,0
2668,2003,0,0
3995,,0,0
1551,2003,0,0
2557,2019,0,0
1402,2005,0,0
1117,2006,0,0
2015,2009,0,0
2853,2002,0,0
749,2002,0,1
3311,,0,0
1455,2002,0,0
525,2004,0,0
732,2004,0,0
698,2002,0,0
362,2004,0,0
3385,2003,0,0
677,2012,0,1
1245,2002,0,1
3278,2001,0,0
4047,2018,0,0
4417,2021,0,0
3501,,0,0
159,2012,0,0
1183,2003,0,0
1479,2002,0,0
1029,2019,0,0
1746,2005,0,0
1316,2001,0,0
266,2005,1,1
3794,2019,0,0
909,2004,0,0
1896,2012,0,0
2994,2004,0,0
724,2003,0,0
661,1999,0,0
3540,2013,1,1
548,2002,0,0
3110,1996,0,0
3813,2018,0,0
3956,,0,0
2644,,0,0
1438,2014,0,0
3188,2001,0,0
1859,2008,0,0
2776,,0,0
4358,,0,0
1789,2006,0,0
1273,2005,0,1
753,2004,0,0
1418,2002,0,1
3075,,0,0
568,2002,0,0
60,2004,0,0
3999,2016,0,0
1224,2009,0,0
641,2006,0,0
4163,,0,1
4499,,0,0
3063,2004,0,0
591,2004,0,0
3433,2003,0,0
3960,,0,0
968,2002,0,0
99,2001,0,0
1818,2006,0,0
3825,,0,0
76,2004,0,0
207,2001,0,1
712,2008,0,0
3521,2014,1,1
529,2003,0,1
483,,0,0
21,2011,0,1
2019,2009,0,0
1320,2007,0,0
745,2002,0,0
1567,2002,0,0
102,,0,0
801,2003,0,0
2127,2015,0,0
694,2004,0,0
3389,,0,0
1863,2011,0,0
4362,2020,0,0
1160,2012,0,0
505,2000,0,1
769,,0,0
3331,2000,0,0
2035,2008,0,1
143,2002,0,0
840,2002,0,0
1930,2007,0,0
456,2002,0,0
4231,2020,0,0
1033,2008,0,0
1822,2009,0,0
114,1998,0,0
1064,2005,0,0
952,2001,0,0
728,,0,0
682,1999,0,0
3370,2002,0,0
2131,,0,0
2074,2011,0,0
3665,,1,1
1080,,0,0
3547,2015,1,1
3052,,0,0
1595,2007,0,0
1716,2001,0,0
666,,0,0
148,2000,0,0
3510,2012,0,0
4390,2021,0,0
1741,2019,0,0
3639,2003,0,0
1604,2002,0,1
2881,2004,0,0
2028,2010,0,0
3506,2011,0,0
1184,,0,0
3013,,0,0
1887,2011,0,0
2602,,0,1
918,2004,0,1
1307,1997,0,0
332,2012,0,1
762,2008,0,0
4555,2022,0,0
627,2005,0,0
3551,2004,0,0
1583,2012,0,0
2086,2014,0,0
365,2001,0,1
4017,2019,0,0
2784,1999,0,1
467,2002,0,0
3195,2003,0,0
3480,,1,1
1517,2002,0,0
871,2005,0,0
3253,2004,0,0
1794,2012,0,0
2012,2009,0,1
3316,1997,0,0
430,1992,0,1
4607,,0,0
2679,,0,0
1956,2010,0,1
2696,2009,0,0
2045,2008,0,1
1393,2000,0,0
1669,2008,0,0
719,2003,0,0
3091,2007,0,0
1805,2008,0,0
3838,,0,0
3642,2003,0,0
2053,2012,0,0
2815,2008,0,0
4492,2020,0,0
3479,2009,1,1
471,2004,0,0
922,2004,0,0
1852,2012,0,0
534,2009,0,0
1151,2008,0,0
2004,,0,0
1782,2008,0,0
3245,2010,0,0
3300,,0,0
2842,2002,0,0
2566,2019,0,0
3377,2003,0,0
3398,2001,0,1
2589,2018,0,0
1126,2019,0,0
1825,2007,0,0
810,2007,0,0
1063,,0,0
1433,2003,0,1
328,,1,1
2862,2001,0,0
778,,0,0
2024,,0,0
