cba_id,source,filename,filepath,employer,union,state_abbrev,state_name,state_fips,sector,naics,naics_description,effective_date,expiration_date,n_workers,multi_state,metadata_source,also_in_dol,also_in_cornell,mistral_contract_year,mistral_naics,mistral_n_occupations,mistral_mean_wage,mistral_median_wage,mistral_step_up
Cornell_DoL_8113ABBYY.pdf,Cornell_DoL,8113ABBYY.pdf,Cornell Archive/Cornell-DoL/8113ABBYY.pdf,"National Electrical Contractors Association, Southern Nevada Chapter","International Brotherhood of Electrical Workers (IBEW), Local 357",NV,Nevada,32,Private,23821,,2003-06-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_8646ABBYY.pdf,Cornell_DoL,8646ABBYY.pdf,Cornell Archive/Cornell-DoL/8646ABBYY.pdf,"Construction Industry Association of Rochester, NY, Inc. (Commercial)","Laborers International Union of North America (LIUNA), AFL-CIO, Local 435",NY,New York,36,Private,23622,,2001-05-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_2674ABBYY.pdf,Cornell_DoL,2674ABBYY.pdf,Cornell Archive/Cornell-DoL/2674ABBYY.pdf,"Noranda Aluminum, Inc.","United Steelworkers of America (USWA), AFL-CIO-CLC, Local 7686",ID,Idaho,16,Private,331312,,2002-09-01,,,0,Cornell_Header,1,0,,,,,,
Cornell_DoL_8474ABBYY.pdf,Cornell_DoL,8474ABBYY.pdf,Cornell Archive/Cornell-DoL/8474ABBYY.pdf,"Albany Electrical Contractors Association, NECA, Albany","International Brotherhood of Electrical Workers (IBEW), Local 236",AL,Alabama,01,Private,23821,,2001-06-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K830724combined.pdf,Cornell_DoL,K830724combined.pdf,Cornell Archive/Cornell-DoL/K830724combined.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K830522_06_07combined.pdf,Cornell_DoL,K830522_06_07combined.pdf,Cornell Archive/Cornell-DoL/K830522_06_07combined.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_8664ABBYY.pdf,Cornell_DoL,8664ABBYY.pdf,Cornell Archive/Cornell-DoL/8664ABBYY.pdf,"Associated General Contractors of New Jersey, Inc./Construction","International Union of Operating Engineers (IUOE), AFL-CIO, Local 825",NJ,New Jersey,34,Private,23622,,2005-04-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K830819combined.pdf,Cornell_DoL,K830819combined.pdf,Cornell Archive/Cornell-DoL/K830819combined.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K800349_06combined.pdf,Cornell_DoL,K800349_06combined.pdf,Cornell Archive/Cornell-DoL/K800349_06combined.pdf,Commonwealth of Massachusetts,"National Association of Government Employees (NAGE), Unit One",MA,Massachusetts,25,,92119,,2003-07-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_1828ABBYY.pdf,Cornell_DoL,1828ABBYY.pdf,Cornell Archive/Cornell-DoL/1828ABBYY.pdf,ExxonMobil Refining and Supply Company,"Gulf Coast Industrial Workers Union (GCIWU), PACEIU, Local 4",TX,Texas,48,Private,32411,,2003-04-15,,,0,Cornell_Header,1,0,,,,,,
Cornell_DoL_8438ABBYY.pdf,Cornell_DoL,8438ABBYY.pdf,Cornell Archive/Cornell-DoL/8438ABBYY.pdf,Independent Contractors,"International Union of Operating Engineers (IUOE), Local 77",DC,District of Columbia,11,Private,23622,,2003-05-01,,,0,Cornell_Header,0,0,,,,,,
